practicetext,practicecorrect,n,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,fixcross1.started_mean,fixcross1.started_raw,fixcross1.started_std,fixcross1.stopped_mean,fixcross1.stopped_raw,fixcross1.stopped_std,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,scaretone.started_raw,scaretone.stopped_raw,order
A circle is a shape,e,1.0,33.632144927978516,33.632144927978516,0.0,,33.149105072021484,33.149105072021484,0.0,33.59952163696289,33.59952163696289,0.0,1.0,1.0,0.0,'e',0.4070219099521637,0.4070219099521637,0.0,33.632144927978516,33.632144927978516,0.0,,,,1.0
Dinosaurs are extinct,e,1.0,37.63261032104492,37.63261032104492,0.0,,37.16584396362305,37.16584396362305,0.0,37.61540603637695,37.61540603637695,0.0,1.0,1.0,0.0,'e',0.06324142962694168,0.06324142962694168,0.0,37.63261032104492,37.63261032104492,0.0,,,,7.0
Magenta is a color,e,1.0,35.99932861328125,35.99932861328125,0.0,,35.49913787841797,35.49913787841797,0.0,35.94887161254883,35.94887161254883,0.0,1.0,1.0,0.0,'e',0.032109733670949936,0.032109733670949936,0.0,35.99932861328125,35.99932861328125,0.0,,,,4.0
A clock is used to tell time,e,1.0,35.28227615356445,35.28227615356445,0.0,,34.799259185791016,34.799259185791016,0.0,35.24900817871094,35.24900817871094,0.0,1.0,1.0,0.0,'e',0.18383225798606873,0.18383225798606873,0.0,35.28227615356445,35.28227615356445,0.0,,,,3.0
Humans cannot breathe water,e,1.0,34.564571380615234,34.564571380615234,0.0,,34.08283233642578,34.08283233642578,0.0,34.532554626464844,34.532554626464844,0.0,1.0,1.0,0.0,'e',0.2016451358795166,0.2016451358795166,0.0,34.564571380615234,34.564571380615234,0.0,,,,2.0
A truck is an animal,i,1.0,37.11604309082031,37.11604309082031,0.0,,36.632293701171875,36.632293701171875,0.0,37.08318328857422,37.08318328857422,0.0,0.0,0.0,0.0,'e',0.012909544631838799,0.012909544631838799,0.0,37.11604309082031,37.11604309082031,0.0,,,,6.0
Jupiter is the planet we live on,i,1.0,36.53230285644531,36.53230285644531,0.0,,36.049713134765625,36.049713134765625,0.0,36.49838638305664,36.49838638305664,0.0,0.0,0.0,0.0,'e',0.06867651641368866,0.06867651641368866,0.0,36.53230285644531,36.53230285644531,0.0,,,,5.0
The Earth is a star,i,1.0,31.88243293762207,31.88243293762207,0.0,,31.39900016784668,31.39900016784668,0.0,31.848766326904297,31.848766326904297,0.0,0.0,0.0,0.0,'e',1.2286665439605713,1.2286665439605713,0.0,31.88243293762207,31.88243293762207,0.0,,,,0.0
Mississippi is a country,i,1.0,38.19947814941406,38.19947814941406,0.0,,37.71620559692383,37.71620559692383,0.0,38.16645050048828,38.16645050048828,0.0,0.0,0.0,0.0,'e',0.018313204869627953,0.018313204869627953,0.0,38.19947814941406,38.19947814941406,0.0,,,,8.0
Humans cannot eat food,i,1.0,38.73262405395508,38.73262405395508,0.0,,38.24899673461914,38.24899673461914,0.0,38.699798583984375,38.699798583984375,0.0,0.0,0.0,0.0,'e',0.4712360203266144,0.4712360203266144,0.0,38.73262405395508,38.73262405395508,0.0,,,,9.0

extraInfo
participant,4
session,001
date,2021_Dec_30_1644
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,60.10840418590714
