practicetext,practicecorrect,n,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,fixcross1.started_mean,fixcross1.started_raw,fixcross1.started_std,fixcross1.stopped_mean,fixcross1.stopped_raw,fixcross1.stopped_std,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,scaretone.started_raw,scaretone.stopped_raw,order
A circle is a shape,e,1.0,62.95798110961914,62.95798110961914,0.0,,62.475643157958984,62.475643157958984,0.0,62.925140380859375,62.925140380859375,0.0,1.0,1.0,0.0,'e',0.8691110610961914,0.8691110610961914,0.0,62.95798110961914,62.95798110961914,0.0,,,,4.0
Dinosaurs are extinct,e,1.0,59.206729888916016,59.206729888916016,0.0,,58.72447204589844,58.72447204589844,0.0,59.17350769042969,59.17350769042969,0.0,1.0,1.0,0.0,'e',1.4344816207885742,1.4344816207885742,0.0,59.206729888916016,59.206729888916016,0.0,,,,2.0
Magenta is a color,e,1.0,61.15704345703125,61.15704345703125,0.0,,60.67476272583008,60.67476272583008,0.0,61.12507247924805,61.12507247924805,0.0,1.0,1.0,0.0,'e',1.2850242853164673,1.2850242853164673,0.0,61.15704345703125,61.15704345703125,0.0,,,,3.0
A clock is used to tell time,e,1.0,75.67569732666016,75.67569732666016,0.0,,75.19149017333984,75.19149017333984,0.0,75.6429214477539,75.6429214477539,0.0,1.0,1.0,0.0,'e',1.5008172988891602,1.5008172988891602,0.0,75.67569732666016,75.67569732666016,0.0,,,,9.0
Humans cannot breathe water,e,1.0,64.34083557128906,64.34083557128906,0.0,,63.87425231933594,63.87425231933594,0.0,64.323974609375,64.323974609375,0.0,1.0,1.0,0.0,'e',3.062925338745117,3.062925338745117,0.0,64.34083557128906,64.34083557128906,0.0,,67.34144804430544,,5.0
A truck is an animal,i,1.0,74.225830078125,74.225830078125,0.0,,73.74237823486328,73.74237823486328,0.0,74.1920394897461,74.1920394897461,0.0,1.0,1.0,0.0,'i',0.9327555894851685,0.9327555894851685,0.0,74.225830078125,74.225830078125,0.0,,,,8.0
Jupiter is the planet we live on,i,1.0,67.90766906738281,67.90766906738281,0.0,,67.42581176757812,67.42581176757812,0.0,67.89035034179688,67.89035034179688,0.0,1.0,1.0,0.0,'i',3.9708147048950195,3.9708147048950195,0.0,67.90766906738281,67.90766906738281,0.0,,70.9080886173062,71.10748435700953,6.0
The Earth is a star,i,1.0,72.39105987548828,72.39105987548828,0.0,,71.90791320800781,71.90791320800781,0.0,72.35736846923828,72.35736846923828,0.0,1.0,1.0,0.0,'i',1.3305648565292358,1.3305648565292358,0.0,72.39105987548828,72.39105987548828,0.0,,,,7.0
Mississippi is a country,i,1.0,55.30644226074219,55.30644226074219,0.0,,54.82371520996094,54.82371520996094,0.0,55.273258209228516,55.273258209228516,0.0,1.0,1.0,0.0,'i',3.394749402999878,3.394749402999878,0.0,55.30644226074219,55.30644226074219,0.0,,58.30720557230525,58.506485032005,1.0
Humans cannot eat food,i,1.0,52.339881896972656,52.339881896972656,0.0,,51.87425994873047,51.87425994873047,0.0,52.3243293762207,52.3243293762207,0.0,1.0,1.0,0.0,'i',2.442425012588501,2.442425012588501,0.0,52.339881896972656,52.339881896972656,0.0,,,,0.0

extraInfo
participant,computer12/30
session,001
date,2021_Dec_30_1346
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.683624150420314
