practicetext,practicecorrect,n,JFALSE.started_mean,JFALSE.started_raw,JFALSE.started_std,JFALSE.stopped_raw,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,fixcross1.started_mean,fixcross1.started_raw,fixcross1.started_std,fixcross1.stopped_mean,fixcross1.stopped_raw,fixcross1.stopped_std,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,scaretone.started_raw,scaretone.stopped_raw,order
A circle is a shape,f,1.0,37.08514404296875,37.08514404296875,0.0,,37.5317268371582,37.5317268371582,0.0,,37.06587600708008,37.06587600708008,0.0,37.5317268371582,37.5317268371582,0.0,0.0,0.0,0.0,'j',0.0980691984295845,0.0980691984295845,0.0,37.5317268371582,37.5317268371582,0.0,,,,9.0
Dinosaurs are extinct,f,1.0,34.14839172363281,34.14839172363281,0.0,,34.598411560058594,34.598411560058594,0.0,,34.132171630859375,34.132171630859375,0.0,34.58177185058594,34.58177185058594,0.0,0.0,0.0,0.0,'j',0.22353608906269073,0.22353608906269073,0.0,34.598411560058594,34.598411560058594,0.0,,,,5.0
Magenta is a color,f,1.0,34.88139724731445,34.88139724731445,0.0,,35.33220672607422,35.33220672607422,0.0,,34.86521911621094,34.86521911621094,0.0,35.31540298461914,35.31540298461914,0.0,0.0,0.0,0.0,'j',0.22869379818439484,0.22869379818439484,0.0,35.33220672607422,35.33220672607422,0.0,,,,6.0
A clock is used to tell time,f,1.0,33.63163375854492,33.63163375854492,0.0,,34.081974029541016,34.081974029541016,0.0,,33.59848403930664,33.59848403930664,0.0,34.04765701293945,34.04765701293945,0.0,0.0,0.0,0.0,'j',0.002979980083182454,0.002979980083182454,0.0,34.081974029541016,34.081974029541016,0.0,,,,4.0
Humans cannot breathe water,f,1.0,36.28181457519531,36.28181457519531,0.0,,36.71549606323242,36.71549606323242,0.0,,36.24782180786133,36.24782180786133,0.0,36.69938278198242,36.69938278198242,0.0,0.0,0.0,0.0,'j',0.3042817711830139,0.3042817711830139,0.0,36.71549606323242,36.71549606323242,0.0,,,,8.0
A truck is an animal,j,1.0,21.979915618896484,21.979915618896484,0.0,,22.4146728515625,22.4146728515625,0.0,,21.947795867919922,21.947795867919922,0.0,22.396940231323242,22.396940231323242,0.0,1.0,1.0,0.0,'j',2.6608123779296875,2.6608123779296875,0.0,22.4146728515625,22.4146728515625,0.0,,,,0.0
Jupiter is the planet we live on,j,1.0,25.165102005004883,25.165102005004883,0.0,,25.614261627197266,25.614261627197266,0.0,,25.130962371826172,25.130962371826172,0.0,25.580259323120117,25.580259323120117,0.0,1.0,1.0,0.0,'j',4.2259626388549805,4.2259626388549805,0.0,25.614261627197266,25.614261627197266,0.0,,28.61480593820452,28.813922388013452,1.0
The Earth is a star,j,1.0,29.914426803588867,29.914426803588867,0.0,,30.36574935913086,30.36574935913086,0.0,,29.881263732910156,29.881263732910156,0.0,30.348466873168945,30.348466873168945,0.0,1.0,1.0,0.0,'j',2.6324331760406494,2.6324331760406494,0.0,30.36574935913086,30.36574935913086,0.0,,,,2.0
Mississippi is a country,j,1.0,35.61477279663086,35.61477279663086,0.0,,36.06629943847656,36.06629943847656,0.0,,35.58113098144531,35.58113098144531,0.0,36.03208923339844,36.03208923339844,0.0,1.0,1.0,0.0,'j',0.13546381890773773,0.13546381890773773,0.0,36.06629943847656,36.06629943847656,0.0,,,,7.0
Humans cannot eat food,j,1.0,33.06502914428711,33.06502914428711,0.0,,33.51525115966797,33.51525115966797,0.0,,33.03148651123047,33.03148651123047,0.0,33.481468200683594,33.481468200683594,0.0,1.0,1.0,0.0,'j',0.06186674162745476,0.06186674162745476,0.0,33.51525115966797,33.51525115966797,0.0,,,,3.0

extraInfo
participant,0
Enter the ID from Qualtrics into the 'Participant' box above. Leave this box blank.,
date,2022_Feb_10_1641
expName,SCThesis2022Fast
psychopyVersion,2021.2.3
frameRate,59.97561367742548
