FastInstructions,practicetext,practicecorrect,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross1.started,fixcross1.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,scaretone.started,scaretone.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,,0,0,0,0,,,,,,,,,17.948814500006847,None,e,1.314480241999263,19.931853650006815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,,,0,1,1,1,,,,,,,,,21.297675163004897,None,e,0.9386908619926544,23.282011041010264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,,0,2,2,2,,,,,,,,,24.26454490800097,None,e,0.2553764559997944,26.249256987997796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",,,,,0,3,3,3,,,,,,,,,26.548329030003515,None,e,0.6019133750087349,28.514525250007864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,,0,4,4,4,,,,,,,,,29.1649168520089,None,e,0.19078281499969307,31.148607456998434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
,The Earth is a star,i,,,,,,,0,0,0,7,,,,,,,,,,,31.39899927499937,31.84876632000669,31.882432259997586,None,e,0,1.228666548995534,31.882432259997586,None,None,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
,A circle is a shape,e,,,,,,,0,1,1,0,,,,,,,,,,,33.14910425301059,33.5995234669972,33.63214335600787,None,e,1,0.4070218999986537,33.63214335600787,None,None,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
,Humans cannot breathe water,e,,,,,,,0,2,2,4,,,,,,,,,,,34.082831747000455,34.53255316300783,34.564572261006106,None,e,1,0.2016451399977086,34.564572261006106,None,None,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
,A clock is used to tell time,e,,,,,,,0,3,3,3,,,,,,,,,,,34.799257687001955,35.24900723301107,35.28227788700315,None,e,1,0.1838322569965385,35.28227788700315,None,None,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
,Magenta is a color,e,,,,,,,0,4,4,2,,,,,,,,,,,35.4991397390113,35.94887222100806,35.999329016005504,None,e,1,0.03210973298700992,35.999329016005504,None,None,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_30_1644,InfinityThesisTest5,2021.2.3,60.10840418590714,
